EAPM,PM_DIAGRAM_LAYERS,DIA_START_DATE,DATE,,EAPM,PM_DIAGRAMS
EAPM,PM_DIAGRAM_LAYERS,CREATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_LAYERS,IMAGE,BLOB,,,
EAPM,PM_DIAGRAM_LAYERS,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_LAYERS,LAYER_EXTRACT_DATE,DATE,,,
EAPM,PM_DIAGRAM_LAYERS,LAYER_NAME,VARCHAR2,,,
EAPM,PM_DIAGRAM_LAYERS,LAYER_NUMBER,NUMBER,,,
EAPM,PM_DIAGRAM_LAYERS,X_IMAGE_SIZE,VARCHAR2,,,
EAPM,PM_DIAGRAM_LAYERS,Y_IMAGE_SIZE,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,OBJECT_ID,VARCHAR2,*,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_DIAGRAM_OBJECTS,DIA_DIAGRAM_ID,VARCHAR2,,EAPM,PM_DIAGRAMS
EAPM,PM_DIAGRAM_OBJECTS,DIA_START_DATE,DATE,,EAPM,PM_DIAGRAMS
EAPM,PM_DIAGRAM_OBJECTS,IO_MR_ID,VARCHAR2,,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_DIAGRAM_OBJECTS,CREATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_OBJECTS,DESCRIPTION,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,EAID,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,ELEMENT_NAME,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,ELEMENT_TYPE,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,ELEMENT_VOLTAGE,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,END_DATE,DATE,,,
EAPM,PM_DIAGRAM_OBJECTS,IS_POLYGON,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_OBJECTS,LAYER_NUMBERS,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,NORMAL_STATE,NUMBER,,,
EAPM,PM_DIAGRAM_OBJECTS,PLANT_ID,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,PM_TYPE,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,ROTATION,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,X_FLIP,NUMBER,,,
EAPM,PM_DIAGRAM_OBJECTS,X_ORIGIN,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,Y_FLIP,NUMBER,,,
EAPM,PM_DIAGRAM_OBJECTS,Y_ORIGIN,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,ZONE_SUBSTATION,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECTS,Z_FLIP,NUMBER,,,
EAPM,PM_DIAGRAM_OBJECT_POINTS,OBJECT_POINT_ID,VARCHAR2,*,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_DIAGRAM_OBJECT_POINTS,DO_OBJECT_ID,VARCHAR2,,EAPM,PM_DIAGRAM_OBJECTS
EAPM,PM_DIAGRAM_OBJECT_POINTS,DO_START_DATE,DATE,,EAPM,PM_DIAGRAM_OBJECTS
EAPM,PM_DIAGRAM_OBJECT_POINTS,CREATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_OBJECT_POINTS,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_DIAGRAM_OBJECT_POINTS,SEQUENCE_NUMBER,NUMBER,,,
EAPM,PM_DIAGRAM_OBJECT_POINTS,X_POSITION,VARCHAR2,,,
EAPM,PM_DIAGRAM_OBJECT_POINTS,Y_POSITION,VARCHAR2,,,
EAPM,PM_DIAGRAM_SUBS,DIA_DIAGRAM_ID,VARCHAR2,*,EAPM,PM_DIAGRAMS
